,,,FPKMs,,,,,,,,,,,,,
,,,"Group 1 (B11, 1 ug dox)",,,"Group 2 (B11, 10 ug dox)",,,,,,,,,,
,Selected by,,NRAS G12V/+,,,NRAS G12V/+,,,,,,,,Rankings,,
Gene Name,DELV?,SRMM?,S13,S14,S15,S16,S17,S18,Avg Grp 1,Avg Grp 2,Fold Chg,Abs Fold Chg,Abs Diff,Abs Fold Chg,Abs Diff,Weighted
ARRDC4,Yes,Yes,5.842,5.338,5.003,1.287,1.698,1.153,5.394,1.380,-3.910,3.910,4.015,102,193,111.1
POC1B,Yes,Yes,0.888,0.559,0.621,2.672,2.176,3.464,0.689,2.771,4.021,4.021,2.081,93,275,111.2
SGCG,,Yes,1.559,1.104,1.419,0.155,0.409,0.414,1.361,0.326,-4.175,4.175,1.035,83,367,111.4
SIRPD,,Yes,1.458,1.315,1.261,0.204,0.413,0.353,1.345,0.323,-4.158,4.158,1.021,84,368,112.4
GNAI1,,Yes,0.628,0.635,0.522,2.624,1.440,3.127,0.595,2.397,4.029,4.029,1.802,92,297,112.5
CYP4V2,Yes,Yes,4.358,3.334,2.416,0.848,0.854,0.842,3.369,0.848,-3.973,3.973,2.521,98,247,112.9
VIT,,Yes,1.975,1.512,2.510,0.798,0.576,0.107,1.999,0.494,-4.048,4.048,1.505,91,312,113.1
CX3CR1,Yes,Yes,8.697,8.580,8.263,2.390,2.559,1.873,8.513,2.274,-3.744,3.744,6.239,111,137,113.6
IFI16,,Yes,12.664,8.782,9.520,2.780,1.121,4.611,10.322,2.837,-3.638,3.638,7.485,116,122,116.6
FBXO36,Yes,,0.205,0.334,0.331,1.165,0.953,1.425,0.290,1.181,4.072,4.072,0.891,89,380,118.1
S1PR3,,Yes,0.468,0.456,0.470,1.974,1.119,2.448,0.465,1.847,3.976,3.976,1.383,97,319,119.2
SPIB,Yes,Yes,2.573,1.295,1.324,0.345,0.527,0.432,1.731,0.434,-3.983,3.983,1.296,96,335,119.9
AMH,,Yes,1.459,1.529,1.647,0.388,0.596,0.179,1.545,0.387,-3.990,3.990,1.158,94,359,120.5
CSF1R,Yes,Yes,36.199,34.054,33.158,11.969,10.302,8.521,34.470,10.264,-3.358,3.358,24.206,130,40,121.0
SLC2A6,Yes,Yes,7.349,8.466,8.229,2.359,2.152,2.302,8.015,2.271,-3.530,3.530,5.744,119,144,121.5
IRF9,Yes,Yes,35.776,35.854,35.429,9.103,14.383,8.778,35.687,10.754,-3.318,3.318,24.932,132,38,122.6
PRKAR1B,,Yes,0.499,0.526,0.321,1.744,1.133,2.419,0.449,1.765,3.932,3.932,1.316,100,333,123.3
PRR22,,Yes,1.932,1.873,2.511,0.854,0.512,0.279,2.105,0.548,-3.840,3.840,1.557,105,309,125.4
ZNF98,,Yes,2.371,2.806,0.036,5.843,5.338,6.997,1.738,6.059,3.486,3.486,4.321,120,180,126.0
UNC5A,Yes,Yes,0.418,0.555,0.351,1.479,1.660,1.969,0.441,1.703,3.857,3.857,1.261,103,340,126.7
MCM8,Yes,Yes,1.290,1.059,1.247,4.310,3.711,4.853,1.199,4.291,3.579,3.579,3.092,118,227,128.9
LILRB2,Yes,,0.949,1.144,1.410,0.265,0.305,0.323,1.167,0.298,-3.920,3.920,0.870,101,384,129.3
CSF2RA,Yes,Yes,22.319,23.388,15.861,8.399,5.656,4.733,20.522,6.263,-3.277,3.277,14.260,136,72,129.6
SLC43A2,Yes,Yes,2.773,3.137,2.916,0.882,0.946,0.597,2.942,0.808,-3.640,3.640,2.134,115,271,130.6
MYD88,Yes,Yes,19.427,20.116,18.697,5.831,6.405,5.664,19.414,5.967,-3.254,3.254,13.447,138,79,132.1
IPCEF1,,Yes,7.777,3.354,4.308,1.447,1.823,1.203,5.146,1.491,-3.451,3.451,3.655,125,203,132.8
HIVEP3,,Yes,2.470,1.767,2.948,1.147,0.666,0.141,2.395,0.651,-3.678,3.678,1.744,114,303,132.9
GAPT,,Yes,12.117,7.790,8.488,3.860,3.325,1.412,9.465,2.866,-3.303,3.303,6.599,133,133,133.0
AKR1C3,Yes,Yes,39.950,47.257,47.056,140.742,135.208,149.343,44.755,141.764,3.168,3.168,97.010,148,12,134.4
SH3PXD2B,,Yes,0.980,0.730,0.942,2.759,4.738,1.717,0.884,3.072,3.475,3.475,2.188,122,266,136.4
MS4A4E,Yes,Yes,5.798,10.865,6.485,2.237,2.208,2.633,7.716,2.359,-3.270,3.270,5.357,137,151,138.4
SLC2A8,,Yes,3.750,5.471,5.584,1.279,0.941,2.194,4.935,1.471,-3.354,3.354,3.463,131,208,138.7
CHAC1,Yes,Yes,46.302,51.893,49.588,16.430,16.476,14.189,49.261,15.699,-3.138,3.138,33.562,151,34,139.3
CRTC1,Yes,Yes,2.447,2.668,3.446,0.751,0.934,0.783,2.853,0.823,-3.468,3.468,2.031,124,282,139.8
ATF3,,Yes,5.031,7.099,4.977,0.366,2.206,2.627,5.702,1.733,-3.290,3.290,3.969,134,197,140.3
C3orf18,Yes,Yes,0.642,1.132,0.793,2.647,3.731,2.455,0.856,2.944,3.440,3.440,2.088,126,273,140.7
PPP1R32,,Yes,1.323,1.765,1.645,5.372,7.149,3.041,1.577,5.187,3.288,3.288,3.610,135,205,142.0
IL1RN,Yes,Yes,9.163,10.742,10.962,3.774,2.605,3.313,10.289,3.231,-3.185,3.185,7.058,144,127,142.3
REC8,Yes,Yes,9.721,10.159,13.930,4.193,4.193,2.246,11.270,3.544,-3.180,3.180,7.726,145,120,142.5
DDX60,,Yes,3.886,1.440,1.310,0.615,0.731,0.599,2.212,0.648,-3.411,3.411,1.563,127,308,145.1
CCDC121,Yes,Yes,2.288,1.546,1.301,0.390,0.498,0.592,1.712,0.494,-3.468,3.468,1.218,123,349,145.6
RAB3IP,Yes,Yes,0.397,0.292,0.334,1.004,1.481,1.079,0.341,1.188,3.480,3.480,0.847,121,386,147.5
MYRF,Yes,Yes,0.470,0.524,0.843,2.451,1.398,2.349,0.612,2.066,3.374,3.374,1.454,129,316,147.7
CD300A,,Yes,24.010,19.895,25.927,10.801,11.569,0.760,23.277,7.710,-3.019,3.019,15.567,159,64,149.5
CCR2,Yes,Yes,23.592,20.764,18.817,6.692,7.200,7.027,21.058,6.973,-3.020,3.020,14.085,158,74,149.6
INHBE,Yes,Yes,5.150,5.479,4.453,1.007,1.994,1.728,5.027,1.576,-3.189,3.189,3.451,143,210,149.7
DHRS3,Yes,Yes,1.272,1.692,2.235,0.651,0.478,0.412,1.733,0.514,-3.375,3.375,1.219,128,348,150.0
PHTF2,,Yes,1.297,3.216,1.099,6.406,5.102,6.334,1.871,5.947,3.179,3.179,4.076,146,189,150.3
CD1D,Yes,Yes,4.182,3.872,5.480,1.034,1.940,1.230,4.511,1.401,-3.219,3.219,3.110,142,225,150.3
ADSS1,,Yes,3.514,1.322,2.510,8.368,7.228,7.460,2.449,7.685,3.138,3.138,5.237,150,154,150.4
IFT46,,Yes,2.006,4.145,3.715,1.154,0.747,1.132,3.289,1.011,-3.252,3.252,2.277,139,259,151.0
TNF,,Yes,18.707,17.789,19.383,7.534,7.586,3.646,18.626,6.255,-2.978,2.978,12.371,163,84,155.1
TREML2,,Yes,1.819,2.063,1.768,0.586,0.785,0.383,1.883,0.585,-3.221,3.221,1.299,141,334,160.3
STC2,Yes,Yes,6.999,6.187,6.544,2.177,1.973,2.429,6.576,2.193,-2.999,2.999,4.383,161,175,162.4
AJUBA,,Yes,7.009,5.774,5.829,2.201,1.303,2.664,6.204,2.056,-3.018,3.018,4.148,160,185,162.5
OLFML3,Yes,Yes,1.653,1.197,1.343,0.565,0.360,0.374,1.398,0.433,-3.228,3.228,0.965,140,374,163.4
MSMO1,Yes,Yes,5.093,4.901,5.026,14.839,16.209,13.032,5.006,14.693,2.935,2.935,9.687,171,96,163.5
C16orf86,Yes,Yes,4.366,6.091,5.730,14.661,19.438,13.320,5.396,15.806,2.930,2.930,10.411,172,90,163.8
ALOX5AP,Yes,Yes,29.480,31.797,37.974,12.389,11.349,10.987,33.084,11.575,-2.858,2.858,21.508,177,48,164.1
SLC20A2,,Yes,12.055,11.971,11.525,2.173,2.491,7.434,11.850,4.033,-2.939,2.939,7.817,170,118,164.8
RAPGEFL1,,Yes,1.519,1.277,3.087,0.680,0.625,0.549,1.961,0.618,-3.173,3.173,1.343,147,326,164.9
H4C14,Yes,Yes,6.284,7.350,6.112,3.076,1.818,1.763,6.582,2.219,-2.966,2.966,4.363,164,176,165.2
AC136475.9,Yes,Yes,96.023,108.384,81.741,33.534,33.669,34.841,95.383,34.015,-2.804,2.804,61.368,182,20,165.8
TESC,,Yes,0.721,1.553,0.697,2.542,3.078,3.532,0.990,3.051,3.080,3.080,2.060,154,278,166.4
LPCAT4,Yes,Yes,10.275,12.002,12.121,32.183,32.603,31.648,11.466,32.145,2.803,2.803,20.678,183,53,170.0
TMEM229B,Yes,,0.910,1.809,1.475,0.541,0.324,0.465,1.398,0.443,-3.154,3.154,0.955,149,376,171.7
GCNA,Yes,Yes,2.967,1.979,1.674,0.884,0.623,0.663,2.207,0.723,-3.051,3.051,1.483,156,314,171.8
SAMHD1,Yes,Yes,117.437,116.208,114.171,39.849,44.424,40.298,115.939,41.524,-2.792,2.792,74.415,189,18,171.9
SYNM,Yes,Yes,1.908,1.868,1.672,0.602,0.545,0.618,1.816,0.588,-3.089,3.089,1.228,153,345,172.2
TP53I3,Yes,Yes,8.934,8.701,8.476,2.809,3.064,3.150,8.704,3.008,-2.894,2.894,5.696,176,145,172.9
CD180,Yes,Yes,1.892,1.253,1.376,0.373,0.442,0.648,1.507,0.488,-3.089,3.089,1.019,152,369,173.7
PRAM1,Yes,Yes,2.589,3.999,3.838,0.937,1.533,1.060,3.475,1.177,-2.953,2.953,2.298,165,258,174.3
KMT2A,,Yes,2.690,1.289,2.290,4.563,7.886,5.900,2.090,6.116,2.927,2.927,4.027,173,192,174.9
STYX,,Yes,2.282,0.803,0.892,3.840,3.733,4.130,1.326,3.901,2.943,2.943,2.575,168,243,175.5
C1orf127,,Yes,2.540,2.139,3.046,0.859,1.202,0.517,2.575,0.859,-2.996,2.996,1.715,162,305,176.3
ANOS1,Yes,Yes,0.390,0.515,0.451,1.149,1.650,1.340,0.452,1.380,3.053,3.053,0.928,155,378,177.3
GDF15,Yes,Yes,9.681,6.305,9.303,3.443,2.423,3.131,8.430,2.999,-2.811,2.811,5.430,181,149,177.8
SIGLEC5,Yes,Yes,1.496,1.815,1.486,0.554,0.519,0.512,1.599,0.528,-3.027,3.027,1.071,157,365,177.8
NEIL1,Yes,Yes,9.166,11.921,17.569,4.605,5.569,3.648,12.885,4.607,-2.797,2.797,8.278,187,110,179.3
LST1,Yes,Yes,374.029,388.570,399.024,152.842,160.190,114.382,387.208,142.471,-2.718,2.718,244.737,201,5,181.4
NCOA5,Yes,Yes,18.393,20.096,18.719,5.847,8.285,6.503,19.069,6.878,-2.772,2.772,12.191,192,87,181.5
JUN,Yes,Yes,3.226,4.009,3.452,1.305,1.407,0.951,3.563,1.221,-2.918,2.918,2.342,174,256,182.2
LIMD2,Yes,Yes,25.351,18.549,19.879,7.926,7.998,7.255,21.260,7.726,-2.752,2.752,13.533,197,76,184.9
LRRC4B,Yes,Yes,0.611,0.544,0.651,1.685,2.161,1.487,0.602,1.778,2.951,2.951,1.175,166,355,184.9
RNF212,Yes,Yes,3.868,3.004,4.851,1.131,1.107,1.891,3.907,1.376,-2.839,2.839,2.531,179,246,185.7
ELOF1,Yes,Yes,22.796,27.992,17.673,7.804,8.589,8.540,22.820,8.311,-2.746,2.746,14.510,199,71,186.2
SLC29A4,Yes,Yes,0.576,0.668,0.587,1.316,2.487,1.579,0.610,1.794,2.940,2.940,1.184,169,352,187.3
SDC2,,Yes,6.889,5.764,6.400,3.281,0.291,3.244,6.351,2.272,-2.795,2.795,4.079,188,187,187.9
RCBTB2,Yes,Yes,3.305,2.861,3.292,1.032,1.196,1.103,3.152,1.110,-2.839,2.839,2.042,178,281,188.3
ZNF398,Yes,Yes,3.558,2.684,3.761,1.237,1.106,1.192,3.334,1.178,-2.830,2.830,2.156,180,268,188.8
H2BC11,,Yes,1.233,1.414,1.024,0.517,0.067,0.661,1.224,0.415,-2.949,2.949,0.809,167,389,189.2
MAST1,,Yes,1.071,0.547,0.521,2.394,1.711,2.112,0.713,2.072,2.907,2.907,1.359,175,323,189.8
KDELR3,Yes,Yes,2.557,1.406,2.592,5.577,5.886,6.744,2.185,6.069,2.778,2.778,3.884,191,199,191.8
TRIB3,Yes,Yes,246.198,235.334,252.570,87.240,88.432,99.608,244.701,91.760,-2.667,2.667,152.941,214,8,193.4
LPXN,Yes,Yes,3.614,2.800,2.052,1.124,1.085,0.812,2.822,1.007,-2.803,2.803,1.815,184,296,195.2
HELZ2,Yes,Yes,11.697,12.604,9.928,4.295,5.066,3.244,11.410,4.202,-2.715,2.715,7.208,204,125,196.1
C6orf52,,Yes,4.344,2.615,2.155,0.976,1.385,0.896,3.038,1.086,-2.798,2.798,1.952,186,290,196.4
SERPINB10,Yes,Yes,29.809,25.383,20.154,58.273,67.554,74.826,25.115,66.884,2.663,2.663,41.769,215,32,196.7
ZNF594,Yes,Yes,3.083,1.938,2.118,0.884,0.911,0.752,2.379,0.849,-2.803,2.803,1.530,185,310,197.5
